StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,X
32,5,189804,1.28,41.1,-1.52,0.86,-0.54,-1.28,0,717,0.09,-0.14,-0.21,-0.82,-1.89,-0.8,0.07,28.3,53.9,NA
32,5,189805,2.69,51.8,-1,1.13,1.08,-0.6,10,419,0.29,0.14,0.05,-0.24,-1.14,-0.18,-0.38,37.9,65.6,NA
32,5,189806,2.3,62.7,-1.5,-1.5,-1.82,-1.5,66,135,-0.78,-0.47,-0.48,-0.72,-0.99,-0.88,-0.6,50,75.4,NA
32,5,189807,3.04,67.7,-1.29,-1.29,0.18,-1.11,139,55,0.37,-0.43,-0.31,-0.43,-0.67,-1.31,-0.3,54.5,80.9,NA
32,5,189808,2.11,64.9,-1.22,-1.22,-0.19,-1.07,88,91,0.06,0.16,-0.45,-0.39,-0.58,-1.12,-0.13,50.9,78.9,NA
32,5,189809,0.66,55.8,-1.75,-1.75,-1.97,-1.75,13,289,-0.96,-0.66,-0.34,-0.63,-0.83,-1.07,-0.55,41.6,70,NA
32,5,189810,2.47,37.5,1.13,1.13,3.4,1.13,0,852,1.24,0.33,0.18,-0.22,-0.33,-0.56,-0.17,28.2,46.8,NA
32,5,189811,0.2,21.3,-0.24,0.78,-0.71,0.21,0,1311,-0.71,0.86,0.08,-0.4,-0.42,-0.58,-0.66,12,30.7,NA
32,5,189812,0.16,10.9,-0.45,-0.45,-0.72,-0.45,0,1677,-1.25,-1.73,0.58,-0.06,-0.46,-0.64,-0.66,1.7,20.2,NA
32,5,189901,0.13,3.5,-0.72,-0.72,-0.94,-0.72,0,1906,-1.25,-1.88,-2.05,-0.4,-0.56,-0.65,-0.73,-5.5,12.5,NA
32,5,189902,0.18,-1.9,-0.88,-0.88,-0.69,-0.88,0,1873,-0.86,-1.59,-2.61,-0.5,-0.75,-0.69,-1,-11.5,7.8,NA
32,5,189903,0.96,6.2,0.15,0.15,0.45,-0.64,0,1823,0.59,0.03,-0.54,0.24,-0.21,-0.56,-0.96,-4.9,17.2,NA
32,5,189904,1.14,37.3,0.15,0.15,0.06,-0.55,0,831,-0.08,0.12,-0.17,-1.21,-0.52,-0.65,-0.96,25.6,49.1,NA
32,5,189905,3.4,50.4,1.1,1.1,2.89,1.1,7,460,0.74,0.47,0.56,0.05,-0.01,-0.39,-0.49,40.1,60.8,NA
32,5,189906,3.11,62.1,1.07,1.07,0.26,1.07,59,146,-0.11,0.3,0.15,-0.04,0.16,-0.17,-0.83,50.5,73.6,NA
32,5,189907,1.84,68.4,0.77,0.77,-0.58,0.26,152,47,-0.63,-0.64,-0.18,-0.3,-0.69,-0.47,-1.33,54.5,82.3,NA
32,5,189908,2.77,64.7,1.23,1.23,1.62,1.23,85,94,0.62,-0.14,-0.33,0.03,-0.31,-0.3,-1.04,52.3,77.1,NA
32,5,189909,0.62,54,-0.51,0.59,-1.53,-0.43,8,338,-1.03,-0.21,-0.65,-0.35,-0.5,-0.31,-1.03,38.4,69.5,NA
